"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LAT","DEC_LONG","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECT_TYPE","INTERSECTION_RELATED","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROAD_CONDITION","ROADWAY_CLEARED","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOT_INJ_COUNT","TOTAL_UNITS","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNBELTED_OCC_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WEATHER1","WEATHER2","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WORKERS_PRES","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2023035818","0650","1","0","0","0","0","0","0","0","0","4","0","","67","04","2023","3","39.9937","-75.1523","0650","06","0","0","0","0","0","1","0","0","","0","0","0","06","1","2","01","","2","39 59:37.177","7","00","75 09:08.634","3","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1","01","0800","N","N","N","0","","1","0","1","3","2","Y","0650","2","2","0","0","0","1","0","2","0","2","03","03","N","","","","","","","","","","",""
"2023035543","2004","1","0","0","0","0","0","0","0","0","7","0","","67","04","2023","5","40.0092","-75.1511","2004","06","0","0","0","0","0","0","0","0","","0","0","0","20","3","0","01","","2","40 00:33.325","2","00","75 09:04.460","0","0","0","0","67301","0","0","0","N","0","0","0","1","67301","0","","3","01","2106","N","N","N","0","","0","0","0","3","2","N","2004","0","1","0","0","0","0","0","2","0","1","03","03","N","","","","","","","","","","",""
"2023037578","0830","0","0","0","0","0","0","0","0","0","8","0","","67","04","2023","7","39.9964","-75.1135","0828","06","0","0","0","0","0","0","0","0","","0","0","0","08","1","1","05","","0","39 59:47.175","","01","75 06:48.425","4","0","0","0","67301","1","0","0","N","1","0","0","2","67301","1","","1","01","","N","N","N","0","","0","0","1","3","2","","0825","1","2","0","0","0","0","0","2","0","1","03","","N","","","","","","","","","","",""
"2023047144","0120","2","0","0","0","0","0","0","0","0","4","0","","67","05","2023","1","40.0698","-75.1671","0114","06","0","0","0","0","0","1","0","0","","0","0","0","01","3","0","00","N","0","40 04:11.120","","00","75 10:01.650","0","0","0","0","67301","0","0","0","N","0","0","0","1","67301","0","","6","01","","N","N","N","0","","0","0","0","0","0","","0114","0","2","0","0","1","0","0","2","0","2","03","","N","","","","","","","","","","",""
"2023036609","1635","1","0","0","0","0","0","0","0","0","8","0","","67","04","2023","6","40.0591","-75.1647","1625","06","0","0","0","0","0","0","0","0","","0","0","0","07","1","1","00","N","0","40 03:32.866","","00","75 09:53.039","8","0","0","0","67301","1","0","0","N","1","0","0","2","67301","0","","1","01","","N","N","N","0","","0","0","0","0","0","","0750","1","2","0","0","1","1","0","2","0","1","03","03","N","","","","","","","","","","",""
"2023035930","1918","1","0","0","0","0","0","0","0","0","4","0","","67","04","2023","7","40.0431","-75.0738","1918","06","0","0","0","0","0","0","0","0","","0","0","0","19","1","1","01","","0","40 02:35.300","","00","75 04:25.706","3","0","0","0","67301","0","0","0","N","0","0","0","3","67301","0","","1","09","","N","N","N","1","","1","0","0","3","2","","1918","1","2","0","0","3","0","0","2","0","2","03","03","N","","","","","","","","","","",""
"2023048132","0702","1","0","0","1","1","0","0","0","0","8","0","","67","05","2023","7","39.9627","-75.2467","0657","06","0","0","0","0","0","0","0","0","","1","0","0","06","1","0","01","","2","39 57:45.805","7","00","75 14:48.154","1","0","0","0","67301","1","1","0","N","0","0","0","2","67301","0","2","1","01","0900","N","N","N","0","0","0","0","0","3","2","Y","0655","0","2","0","0","0","0","0","2","0","1","03","","N","","","","","","","","","","",""
"2023034411","0908","1","0","0","0","0","0","0","0","0","8","0","","67","04","2023","3","40.0077","-75.1024","0900","06","0","0","0","0","0","0","0","0","","0","0","0","09","1","1","00","N","0","40 00:27.590","","00","75 06:08.660","3","0","0","0","67301","1","0","0","N","1","0","0","2","67301","0","","1","01","","N","Y","N","0","","1","0","0","0","0","","0900","1","2","0","0","0","0","0","2","0","1","03","03","N","","","","","","","","","","",""
"2023048355","1523","2","0","0","0","0","0","0","0","0","4","0","","67","05","2023","4","40.0878","-74.9634","1517","06","0","0","0","0","0","0","0","0","","0","0","0","15","1","1","00","N","0","40 05:16.210","","07","74 57:48.200","3","0","0","0","67301","0","0","0","N","0","0","0","3","67301","0","","1","01","","N","N","N","0","","1","0","0","3","8","","1515","1","2","0","0","0","0","0","2","0","2","03","03","N","","","","","","","","","","",""
"2023035626","1505","2","0","0","0","0","0","0","0","0","5","0","","67","04","2023","6","40.0925","-74.9785","1500","06","0","0","0","0","0","0","1","0","","0","0","0","14","1","0","00","N","1","40 05:32.868","3","00","74 58:42.679","0","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1","01","1700","N","N","N","0","","0","0","0","0","0","N","1440","0","2","0","0","0","0","0","2","0","2","03","03","N","","","","","","","","","","",""
